Date,SPY
2025-08-19,639.8099975585938
2025-08-20,638.1099853515625
2025-08-21,635.5499877929688
2025-08-22,645.3099975585938
2025-08-25,642.469970703125
2025-08-26,645.1599731445312
2025-08-27,646.6300048828125
2025-08-28,648.9199829101562
2025-08-29,645.0499877929688
2025-09-02,640.27001953125
2025-09-03,643.739990234375
2025-09-04,649.1199951171875
2025-09-05,647.239990234375
2025-09-08,648.8300170898438
2025-09-09,650.3300170898438
2025-09-10,652.2100219726562
2025-09-11,657.6300048828125
2025-09-12,657.4099731445312
2025-09-15,660.9099731445312
2025-09-16,660.0
2025-09-17,659.1799926757812
2025-09-18,662.260009765625
2025-09-19,661.0020141601562
